rank,pt_cut,ak_radius,ca_radius,n_regimes,regime_coverage,global_objective,mean_score,mean_regret,median_regret,q90_regret,worst_regret,coverage_regret_le_0.02,coverage_regret_le_0.05,coverage_regret_le_0.1
153,220,1.2,1.4,18,1.0,0.764059901428455,0.9255284469849874,0.4963262581772718,0.4980701134283982,0.6298961960438375,0.6399783368841371,0.0,0.0,0.0
154,300,1.0,1.2,18,1.0,0.7640930827956776,0.9088511812764342,0.4796489924687186,0.4901450314676268,0.5946227360052007,0.644180834678498,0.0,0.0,0.0
155,160,0.4,1.2,18,1.0,0.7672945256004053,0.9342575045676025,0.505055315759887,0.5477626213510254,0.6150191019138027,0.6410306966604336,0.0,0.0,0.0
156,280,0.6,0.6,18,1.0,0.7674143652821407,0.8117080403112035,0.382505851503488,0.29360332834199077,0.6423359389617904,0.6717879024062687,0.0,0.0,0.0
157,220,1.0,1.4,18,1.0,0.7680530460310969,0.9006682540378836,0.4714660652301682,0.4815726843942371,0.6355868674592429,0.6501865297235548,0.0,0.0,0.0
158,240,0.6,0.8,18,1.0,0.7690593492192435,0.8143647566450894,0.38516256783737385,0.336022117290877,0.6325996805830861,0.6727687072599,0.0,0.0,0.0
159,120,0.6,1.4,18,1.0,0.7704200854978709,0.8412792347750653,0.41207704596734973,0.4268943222944635,0.6241217370877932,0.6674008240060334,0.0,0.0,0.05555555555555555
160,140,1.2,1.2,18,1.0,0.7707726909792351,0.9827568221155754,0.55355463330786,0.5673240858924251,0.6031100604792401,0.6323840326522701,0.0,0.0,0.0
161,160,1.2,1.4,18,1.0,0.7715096763244383,0.9507023146982188,0.5215001258905033,0.5308382780312156,0.6259294239321572,0.6411346448518125,0.0,0.0,0.0
162,160,0.4,1.0,18,1.0,0.7723354738068139,0.8603231277814751,0.43112093897375975,0.40637862068218633,0.6540561405187767,0.664555239063374,0.0,0.0,0.0
163,220,0.6,1.2,18,1.0,0.7732894586769921,0.9297024351133937,0.5005002463056782,0.5037568967333188,0.609205986234913,0.6481643971005725,0.0,0.0,0.0
164,320,1.4,1.2,18,1.0,0.7744484397599151,0.9032506401750293,0.4740484513673139,0.4716639273999438,0.572703867371486,0.6559363269180866,0.0,0.0,0.0
165,400,1.2,1.0,18,1.0,0.7751047902299116,0.9066950180839011,0.4774928292761857,0.4864644980075113,0.6163944160423087,0.6557315829108652,0.0,0.0,0.0
166,260,0.6,1.0,18,1.0,0.776465543871957,0.8982864269944391,0.4690842381867235,0.5067103533536765,0.6318458143738906,0.659194484325276,0.0,0.0,0.0
167,340,1.0,1.0,18,1.0,0.7805345792909749,0.8964040085644114,0.4672018197566961,0.4926584949197333,0.630201811516883,0.6637341243518009,0.0,0.0,0.0
168,180,0.8,1.4,18,1.0,0.781778636497471,0.8933588477901913,0.4641566589824758,0.4667785971994139,0.6362690604634992,0.6657394717518521,0.0,0.0,0.0
